file,is_test,severity,confidence,pattern,title,location,what_was_found
android\guava\src\com\google\common\collect\DiscreteDomain.java,False,Low,Medium,allocation-pressure,String concatenation in loop,offset (line 266),Loop at line 266 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\ImmutableListMultimap.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 540,Loop at line 540 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\ImmutableMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 685,Loop at line 685 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ImmutableRangeMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,build (line 158),Loop at line 158 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ImmutableRangeMap.java,False,Low,Medium,allocation-pressure,String concatenation in loop,build (line 158),Loop at line 158 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\ImmutableRangeSet.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,indexOf (line 700),Loop at line 700 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ImmutableSetMultimap.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 709,Loop at line 709 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\Iterables.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Iterables (line 205),Loop at line 205 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Iterables.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Iterables (line 240),Loop at line 240 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Iterators.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Iterators (line 209),Loop at line 209 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Iterators.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Iterators (line 254),Loop at line 254 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Iterators.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Iterators (line 383),Loop at line 383 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\LinkedHashMultimap.java,False,High,Medium,chatty-io,Remote or service call inside loop,clear (line 438),"Loop at line 438 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\collect\LinkedHashMultimap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 517,Loop at line 517 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 1024),Loop at line 1024 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 1065),Loop at line 1065 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 1071),Loop at line 1071 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 1097),Loop at line 1097 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 1103),Loop at line 1103 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 424),Loop at line 424 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 425),Loop at line 425 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 482),Loop at line 482 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Lists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Lists (line 483),Loop at line 483 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2398),Loop at line 2398 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2400),Loop at line 2400 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2405),Loop at line 2405 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2406),Loop at line 2406 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1479),Loop at line 1479 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1480),Loop at line 1480 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1514),Loop at line 1514 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1578),Loop at line 1578 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1607),Loop at line 1607 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,maybeDrainReferenceQueues (line 1633),Loop at line 1633 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\MapMakerInternalMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,nextInTable (line 2578),Loop at line 2578 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 2790),Loop at line 2790 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 2804),Loop at line 2804 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 2915),Loop at line 2915 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 2929),Loop at line 2929 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 3053),Loop at line 3053 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 3913),Loop at line 3913 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 3928),Loop at line 3928 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Maps.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Maps (line 4018),Loop at line 4018 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Multimap.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 64,Loop at line 64 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\Multisets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Multisets (line 456),Loop at line 456 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Multisets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Multisets (line 588),Loop at line 588 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Range.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsAll (line 442),Loop at line 442 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Serialization.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Serialization (line 163),Loop at line 163 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,List membership checks inside loop,Sets (line 1551),Loop at line 1551 performs `.contains(...)` checks that may scan collections repeatedly.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1005),Loop at line 1005 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1059),Loop at line 1059 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1065),Loop at line 1065 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1079),Loop at line 1079 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1084),Loop at line 1084 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1400),Loop at line 1400 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1401),Loop at line 1401 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1455),Loop at line 1455 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1456),Loop at line 1456 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 1551),Loop at line 1551 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 743),Loop at line 743 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 823),Loop at line 823 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 847),Loop at line 847 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 920),Loop at line 920 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 934),Loop at line 934 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Sets.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Sets (line 991),Loop at line 991 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\SortedLists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,SortedLists (line 100),Loop at line 100 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\SortedLists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,SortedLists (line 289),Loop at line 289 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\SortedLists.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,SortedLists (line 74),Loop at line 74 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\SparseImmutableTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 61,Loop at line 61 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\SparseImmutableTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,writeReplace (line 137),Loop at line 137 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\StandardTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 544,Loop at line 544 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\StandardTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeAll (line 978),Loop at line 978 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\StandardTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeFromColumnIf (line 467),Loop at line 467 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\StandardTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,retainAll (line 947),Loop at line 947 is nested at depth 4 and also performs repeated lookup or transformation work.
